row,column,weight
"Cite_2_2: We consider weak solutions of the inhomogeneous non-cutoff Boltzmann equation in a bounded domain with any of the usual physical boundary conditions: in-flow, bounce-back, specular-reflection and diffuse-reflection. When the mass, energy and entropy densities are bounded above, and the mass density is bounded away from a vacuum, we obtain an estimate of the norm of the solution depending on the macroscopic bounds on these hydrodynamic quantities only. This is a regularization effect in the sense that the initial data is not required to be bounded. We present a proof based on variational ideas, which is fundamentally different to the proof that was previously known for the equation in periodic spatial domains.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_3: We establish the boundedness of weak subsolutions for a class of degenerate Kolmogorov equations of hypoelliptic type, compatible with a homogeneous Lie group structure, within bounded product domains using the De Giorgi iteration. We employ the renormalization formula to handle boundary values and provide energy estimates. An L^1-L^p type embedding estimate derived from the fundamental solution is utilized to incorporate lower-order divergence terms. This work naturally extends the boundedness theory for uniformly parabolic equations, with matching exponents for the coefficients.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_4: This work is devoted to the study of the obstacle problem associated to the Kolmogorov–Fokker–Planck operator with rough coefficients through a variational approach. In particular, after the introduction of a proper anisotropic Sobolev space and related properties, we prove the existence and uniqueness of a weak solution for the obstacle problem by adapting a classical perturbation argument to the convex functional associated to the case of our interest. Finally, we conclude this work by providing a one-sided associated variational inequality, alongside with an overview on related open problems.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_5: In this paper, we prove a kinetic Nash type inequality and adapt it to a new functional inequality for functions in a kinetic Sobolev space with absorbing boundary conditions on the half-space. As an application, we address the boundary behavior of the kinetic Fokker-Planck equations in the half-space. Our main result is the sharp regularity of the solution at the absorbing boundary and grazing set.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_6: After carrying out an overview on the non Euclidean geometrical setting suitable for the study of Kolmogorov operators with rough coefficients, we list some properties of the functional space, mirroring the classical theory for uniformly elliptic operators. Then we provide the reader with the proof of a new Sobolev embedding for functions in . Additionally, after reviewing recent results regarding weak regularity theory, we discuss some of their latest applications to real life problems arising both in Physics and in Economics. Finally, we conclude our analysis stating some recent results regarding the study of fractional kinetic operators.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_7: In this work, we provide a comprehensive gradient regularity theory for a broad class of nonlinear kinetic Fokker-Planck equations. We achieve this by establishing precise pointwise estimates in terms of the data in the spirit of nonlinear potential theory, leading to fine gradient regularity results under borderline assumptions on the data. Notably, our gradient estimates are novel already in the absence of forcing terms and even for linear kinetic Fokker-Planck equations in divergence form.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_8: We prove the local-in-time well-posedness of the relativistic Vlasov–Maxwell–Landau system in a bounded domain with the specular reflection condition. Our result covers the case when is a nonconvex domain, e.g., solid torus. To the best of our knowledge, this is the first local well-posedness result for a nonlinear kinetic model with a self-consistent magnetic effect in a three-dimensional bounded domain.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_9: We study the obstacle problem associated with the Kolmogorov operator , which arises from the theory of optimal control in Asian-American options pricing models. Our first main contribution is to improve the known regularity of solutions, from  to . The previous result in the literature, which has been called optimal, corresponds to  regularity with respect to the Kolmogorov distance. This is the expected regularity for solutions to obstacle problems. Our unexpected improvement of regularity in the  variable is obtained using Bernstein's technique and an approach drawing on ideas from Evans-Krylov theory. We then use this improvement in regularity of the solution to prove the first known free boundary regularity result. We show that under a standard thickness condition, the free boundary is a  regular surface. This result constitutes the first step in the program of free boundary regularity. Critically, our arguments rely on a new monotonicity formula and a commutator estimate that are only made possible by the solution's enhanced regularity in .","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_2_10: In this thesis we study some regularity problems for kinetic-type partial differential equations. These equations are characterized by the fact that their second order part is fully degenerate, but the presence of a first order operator restores good properties for the solution. In the first part of the thesis we consider a class of Backward Kolmogorov equations with rough coefficients, namely coefficients that are measurable in time and Hölder continuous in space. We prove optimal regularity for the fundamental solution and Schauder estimates for the Cauchy problem. In the second part we study boundary regularity for a kinetic Fokker-Planck equation with constant coefficients. We also prove a Nash inequality for kinetic Sobolev spaces.","Main_2:   We obtain local Holder continuity estimates up to the boundary for a kinetic
Fokker-Planck equation with rough coefficients, with the prescribed influx
boundary condition. Our result extends some recent developments that
incorporate De Giorgi methods to kinetic Fokker-Planck equations. We also
obtain higher order asymptotic estimates near the incoming part of the
boundary. In particular, when the equation has a zero boundary conditions and
no source term, we prove that the solution vanishes at infinite order on the
incoming part of the boundary.
",0.5
"Cite_4_1: This paper introduces a new fixed effects estimator for linear panel data models with clustered time patterns of unobserved heterogeneity. The method avoids non-convex and combinatorial optimization by combining a preliminary consistent estimator of the slope coefficient, an agglomerative pairwise-differencing clustering of cross-sectional units, and a pooled ordinary least squares regression. Asymptotic guarantees are established in a framework where can grow at any power of , as both and approach infinity. Unlike most existing approaches, the proposed estimator is computationally straightforward and does not require a known upper bound on the number of groups. As existing approaches, this method leads to a consistent estimation of well-separated groups and an estimator of common parameters asymptotically equivalent to the infeasible regression controlling for the true groups. An application revisits the statistical association between income and democracy.","Main_4:   In this paper, we develop spectral and post-spectral estimators for grouped
panel data models. Both estimators are consistent in the asymptotics where the
number of observations $N$ and the number of time periods $T$ simultaneously
grow large. In addition, the post-spectral estimator is $\sqrt{NT}$-consistent
and asymptotically normal with mean zero under the assumption of well-separated
groups even if $T$ is growing much slower than $N$. The post-spectral estimator
has, therefore, theoretical properties that are comparable to those of the
grouped fixed-effect estimator developed by Bonhomme and Manresa (2015). In
contrast to the grouped fixed-effect estimator, however, our post-spectral
estimator is computationally straightforward.
",0.35
